name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Patrick Mahomes,KC,QB,27.998077851407913,880,4046,13116,10709,1,1,7
Jalen Hurts,PHI,QB,25.10766689459665,6407,6904,14783,9761,2,2,318
Josh Allen,BUF,QB,27.321365519342972,6170,4984,13589,9710,3,3,-13
Justin Jefferson,MIN,WR,24.25013264481862,7569,6794,14836,9169,4,1,-158
Joe Burrow,CIN,QB,26.76520113873034,1002,6770,14777,8423,5,4,72
Justin Herbert,LAC,QB,25.518625796581684,8448,6797,14779,8379,6,5,563
Ja'Marr Chase,CIN,WR,23.540543604800863,5856,7564,15281,8361,7,2,464
Trevor Lawrence,JAX,QB,23.943283330638,1086,7523,15237,6988,8,6,-258
Bijan Robinson,ATL,RB,21.622735385337393,9833,9509,16161,6969,9,1,31
Lamar Jackson,BAL,QB,26.688488810248604,3101,4881,13593,6547,10,7,-921
CeeDee Lamb,DAL,WR,24.43917374403856,4835,6786,14832,6388,11,3,711
Amon-Ra St. Brown,DET,WR,23.893968261922883,1527,7547,15287,5975,12,4,826
Anthony Richardson,IND,QB,21.315886070237188,9951,9229,16152,5770,13,8,452
Tyreek Hill,MIA,WR,29.54602305676053,7958,3321,12801,5641,14,5,549
A.J. Brown,PHI,WR,26.211776481354644,4118,5859,14104,5640,15,6,-101
Tua Tagovailoa,MIA,QB,25.540543606925418,6092,6768,14778,5569,16,9,1493
Justin Fields,CHI,QB,24.532324426560123,7191,7591,15238,5486,17,10,-1049
Christian McCaffrey,SF,RB,27.27479017998478,5494,4034,13130,5410,18,2,570
Garrett Wilson,NYJ,WR,23.148762782787927,6813,8146,15753,5243,19,7,-589
Jaylen Waddle,MIA,WR,24.806297031614662,1409,7526,15284,5163,20,8,30
Chris Olave,NO,WR,23.217255930301878,2548,8144,15754,4942,21,9,90
Breece Hall,NYJ,RB,22.291228529743783,4576,8155,15708,4852,22,3,368
DeVonta Smith,PHI,WR,24.836434015474378,6635,7525,15282,4822,23,10,875
Travis Kelce,KC,TE,33.95150250507357,2204,1466,11244,4765,24,1,-58
