name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Patrick Mahomes,KC,QB,27.950800869831305,880,4046,13116,10445,1,1,-582
Josh Allen,BUF,QB,27.274088537766364,6170,4984,13589,9510,2,2,110
Justin Jefferson,MIN,WR,24.20285566140284,7569,6794,14836,9182,3,1,-82
Jalen Hurts,PHI,QB,25.060389910990615,6407,6904,14783,9075,4,3,96
Joe Burrow,CIN,QB,26.717924154743784,1002,6770,14777,8462,5,4,-785
Ja'Marr Chase,CIN,WR,23.493266623255963,5856,7564,15281,8269,6,2,238
Justin Herbert,LAC,QB,25.471348815036784,8448,6797,14779,7594,7,5,-449
Lamar Jackson,BAL,QB,26.641211828513445,3101,4881,13593,7321,8,6,-103
2023 Pick 1.01,null,PICK,null,9983,DP_0_0,DP_0_0,7180,9,1,-81
Trevor Lawrence,JAX,QB,23.89600634890284,1086,7523,15237,7073,10,7,-300
Bijan Robinson,ATL,RB,21.57545840363394,9833,9509,UNK,6658,11,1,-675
Justin Fields,CHI,QB,24.48504744482496,7191,7591,15238,6446,12,8,26
Garrett Wilson,NYJ,WR,23.101485801084475,6813,8146,15753,5975,13,3,230
CeeDee Lamb,DAL,WR,24.391896760432523,4835,6786,14832,5930,14,4,-87
Anthony Richardson,IND,QB,21.268609086250635,9951,9229,UNK,5525,15,9,375
A.J. Brown,PHI,WR,26.16449949961948,4118,5859,14104,5509,16,5,-431
Jaylen Waddle,MIA,WR,24.759020048008626,1409,7526,15284,5330,17,6,-2
Amon-Ra St. Brown,DET,WR,23.846691277968038,1527,7547,15287,5188,18,7,344
Christian McCaffrey,SF,RB,27.22751319824962,5494,4034,13130,5154,19,2,-119
2023 Pick 1.02,null,PICK,null,9984,DP_0_1,DP_0_1,5027,20,2,-1036
Jahmyr Gibbs,DET,RB,21.441211825976662,9821,9221,UNK,4834,21,3,604
2023 Pick 1.03,null,PICK,null,9985,DP_0_2,DP_0_2,4781,22,3,-34
Chris Olave,NO,WR,23.169978948725266,2548,8144,15754,4727,23,8,-126
Tyreek Hill,MIA,WR,29.49874607502537,7958,3321,12801,4722,24,9,-179
Deshaun Watson,CLE,QB,27.959020044330288,3568,4017,13113,4709,25,10,-160
Jonathan Taylor,IND,RB,24.60833510711568,3046,6813,14802,4541,26,4,-291
Travis Kelce,KC,TE,33.904225523782344,2204,1466,11244,4478,27,1,-400
Nick Chubb,CLE,RB,27.6740885408105,4188,4988,13610,4354,28,5,-51
Cooper Kupp,LAR,WR,30.208335113647895,5586,4039,13164,4346,29,10,-255
Breece Hall,NYJ,RB,22.2439515456621,4576,8155,15708,4340,30,6,-787
Saquon Barkley,NYG,RB,26.550800869482497,7257,4866,13604,4325,31,7,531
Bryce Young,CAR,QB,22.093266623002283,9944,9228,UNK,4324,32,11,168
Tua Tagovailoa,MIA,QB,25.493266623319382,6092,6768,14778,4236,33,12,-40
2023 Pick 1.04,null,PICK,null,9986,DP_0_3,DP_0_3,4227,34,4,-354
DeVonta Smith,PHI,WR,24.789157033770927,6635,7525,15282,4215,35,11,61
Tee Higgins,CIN,WR,24.611074842434043,5531,6801,14835,4123,36,12,-320
Davante Adams,LV,WR,30.682307718924402,1503,2133,11675,4091,37,13,547
Dak Prescott,DAL,QB,30.087787171359714,6637,3294,12620,4084,38,13,-378
Austin Ekeler,LAC,RB,28.28778717094749,1332,4663,13404,4082,39,8,62
Mark Andrews,BAL,TE,27.98093785318366,4519,5012,13671,4045,40,2,-204
2023 Pick 1.05,null,PICK,null,9987,DP_0_4,DP_0_4,3867,41,5,-66
Jaxon Smith-Njigba,SEA,WR,21.53436251376205,9924,9488,UNK,3844,42,14,19
2023 Pick 1.06,null,PICK,null,9988,DP_0_5,DP_0_5,3724,43,6,194
Stefon Diggs,BUF,WR,29.75080086697742,3214,2449,12186,3699,44,15,-748
Tony Pollard,DAL,RB,26.331622787290716,407,5967,14085,3694,45,9,372
C.J. Stroud,HOU,QB,21.901485797786655,9838,9758,UNK,3691,46,14,-344
