rank,player,team,position,age,tier,trend,value
1,Patrick Mahomes,KCC,QB1,27.8,Tier 1,0,9999
2,Justin Jefferson,MIN,WR1,24.1,Tier 1,1u,9965
3,Josh Allen,BUF,QB2,27.2,Tier 1,1d,9798
4,Jalen Hurts,PHI,QB3,25.0,Tier 1,0,9449
5,Joe Burrow,CIN,QB4,26.6,Tier 1,0,9170
6,Ja'Marr Chase,CIN,WR2,23.4,Tier 1,0,9106
7,Justin Herbert,LAC,QB5,25.4,Tier 1,0,8713
8,Bijan Robinson,ATL,RB1,21.5,Tier 2,2u,8180
9,Trevor Lawrence,JAC,QB6,23.8,Tier 2,1d,8123
10,Lamar Jackson,BAL,QB7,26.5,Tier 2,1d,7842
11,Justin Fields,CHI,QB8,24.4,Tier 3,2u,7484
12,CeeDee Lamb,DAL,WR3,24.3,Tier 3,1d,7432
13,Garrett Wilson,NYJ,WR4,23.0,Tier 3,1d,7415
14,Amon-Ra St. Brown,DET,WR5,23.7,Tier 3,2u,7221
15,A.J. Brown,PHI,WR6,26.1,Tier 3,1d,7211
16,Jaylen Waddle,MIA,WR7,24.6,Tier 3,1d,7113
17,Chris Olave,NOS,WR8,23.1,Tier 4,0,6923
18,Anthony Richardson,IND,QB9,21.2,Tier 5,1u,6717
19,Christian McCaffrey,SFO,RB2,27.1,Tier 6,3u,6572
20,2024 Early 1st,,PICK,,Tier 6,1u,6488
21,Jahmyr Gibbs,DET,RB3,21.3,Tier 6,4u,6452
22,2023 Early 1st,,PICK,,Tier 6,1u,6426
23,DeVonta Smith,PHI,WR9,24.7,Tier 6,1u,6351
24,Tyreek Hill,MIA,WR10,29.4,Tier 7,3u,6120
25,Breece Hall,NYJ,RB4,22.1,Tier 8,7d,5997
26,Jaxon Smith-Njigba,SEA,WR11,21.4,Tier 8,4u,5936
27,Travis Kelce,KCC,TE1,33.8,Tier 8,4u,5928
28,Tee Higgins,CIN,WR12,24.5,Tier 9,0,5806
29,Bryce Young,CAR,QB10,22.0,Tier 9,3d,5786
30,Jonathan Taylor,IND,RB5,24.5,Tier 9,10d,5767
31,Saquon Barkley,NYG,RB6,26.4,Tier 9,7u,5765
32,Mark Andrews,BAL,TE2,27.9,Tier 9,0,5729
33,Drake London,ATL,WR13,22.0,Tier 9,2u,5729
34,Stefon Diggs,BUF,WR14,29.6,Tier 9,6u,5708
35,DK Metcalf,SEA,WR15,25.6,Tier 9,2d,5654
36,Nick Chubb,CLE,RB7,27.6,Tier 9,7u,5601
37,Kyle Pitts,ATL,TE3,22.8,Tier 9,3d,5547
38,Deshaun Watson,CLE,QB11,27.8,Tier 9,9d,5534
39,Tua Tagovailoa,MIA,QB12,25.4,Tier 9,0,5484
40,Cooper Kupp,LAR,WR16,30.1,Tier 9,1u,5436
41,2025 Early 1st,,PICK,,Tier 9,6u,5418
42,Tony Pollard,DAL,RB8,26.2,Tier 9,8u,5359
43,C.J. Stroud,HOU,QB13,21.8,Tier 9,7d,5304
44,Kyler Murray,ARI,QB14,26.0,Tier 9,7d,5239
45,Austin Ekeler,LAC,RB9,28.2,Tier 9,3u,5193
46,2024 Mid 1st,,PICK,,Tier 9,7u,5127
47,Josh Jacobs,LVR,RB10,25.4,Tier 9,1d,5118
48,Jordan Addison,MIN,WR17,21.5,Tier 9,12u,5109
