rank,player,team,position,age,tier,trend,value,path
1,Patrick Mahomes,KCC,QB1,27.8,Tier 1,0,9999,/dynasty-rankings/players/patrick-mahomes-272
2,Justin Jefferson,MIN,WR1,24.1,Tier 1,0,9929,/dynasty-rankings/players/justin-jefferson-542
3,Josh Allen,BUF,QB2,27.2,Tier 1,0,9841,/dynasty-rankings/players/josh-allen-365
4,Jalen Hurts,PHI,QB3,25.0,Tier 1,0,9677,/dynasty-rankings/players/jalen-hurts-595
5,Joe Burrow,CIN,QB4,26.6,Tier 2,0,9085,/dynasty-rankings/players/joe-burrow-601
6,Ja'Marr Chase,CIN,WR2,23.4,Tier 2,0,9027,/dynasty-rankings/players/ja-marr-chase-1004
7,Justin Herbert,LAC,QB5,25.4,Tier 3,0,8614,/dynasty-rankings/players/justin-herbert-599
8,Trevor Lawrence,JAC,QB6,23.8,Tier 4,0,8193,/dynasty-rankings/players/trevor-lawrence-1094
9,Bijan Robinson,ATL,RB1,21.5,Tier 4,1u,8069,/dynasty-rankings/players/bijan-robinson-1414
10,Lamar Jackson,BAL,QB7,26.5,Tier 4,1d,7868,/dynasty-rankings/players/lamar-jackson-372
11,Garrett Wilson,NYJ,WR3,23.0,Tier 5,0,7483,/dynasty-rankings/players/garrett-wilson-1270
12,CeeDee Lamb,DAL,WR4,24.3,Tier 5,0,7445,/dynasty-rankings/players/ceedee-lamb-546
13,Justin Fields,CHI,QB8,24.4,Tier 5,0,7358,/dynasty-rankings/players/justin-fields-1015
14,Amon-Ra St. Brown,DET,WR5,23.7,Tier 6,2u,7108,/dynasty-rankings/players/amon-ra-st-brown-1010
15,A.J. Brown,PHI,WR6,26.1,Tier 6,1d,7101,/dynasty-rankings/players/aj-brown-217
16,Jaylen Waddle,MIA,WR7,24.6,Tier 6,1d,7006,/dynasty-rankings/players/jaylen-waddle-1007
17,Chris Olave,NOS,WR8,23.1,Tier 7,0,6848,/dynasty-rankings/players/chris-olave-1271
18,Anthony Richardson,IND,QB9,21.2,Tier 8,2u,6599,/dynasty-rankings/players/anthony-richardson-1405
19,Christian McCaffrey,SFO,RB2,27.1,Tier 8,0,6580,/dynasty-rankings/players/christian-mccaffrey-283
20,2023 Early 1st,,PICK,,Tier 8,2u,6469,/dynasty-rankings/players/2023-early-1st-1095
21,Jahmyr Gibbs,DET,RB3,21.3,Tier 8,3u,6448,/dynasty-rankings/players/jahmyr-gibbs-1415
22,DeVonta Smith,PHI,WR9,24.7,Tier 8,3u,6379,/dynasty-rankings/players/devonta-smith-1005
23,2024 Early 1st,,PICK,,Tier 8,0,6378,/dynasty-rankings/players/2024-early-1st-1293
24,Tyreek Hill,MIA,WR10,29.4,Tier 9,3u,6130,/dynasty-rankings/players/tyreek-hill-286
25,Saquon Barkley,NYG,RB4,26.4,Tier 10,9u,5974,/dynasty-rankings/players/saquon-barkley-1
26,Travis Kelce,KCC,TE1,33.8,Tier 10,2u,5959,/dynasty-rankings/players/travis-kelce-264
27,Breece Hall,NYJ,RB5,22.1,Tier 10,9d,5958,/dynasty-rankings/players/breece-hall-1224
28,Jaxon Smith-Njigba,SEA,WR11,21.4,Tier 11,1u,5829,/dynasty-rankings/players/jaxon-smith-njigba-1437
29,Mark Andrews,BAL,TE2,27.9,Tier 11,8u,5799,/dynasty-rankings/players/mark-andrews-366
30,Tee Higgins,CIN,WR12,24.5,Tier 11,0,5784,/dynasty-rankings/players/tee-higgins-543
31,Jonathan Taylor,IND,RB6,24.5,Tier 11,10d,5739,/dynasty-rankings/players/jonathan-taylor-634
32,Nick Chubb,CLE,RB7,27.6,Tier 11,9u,5736,/dynasty-rankings/players/nick-chubb-274
33,Bryce Young,CAR,QB10,22.0,Tier 11,7d,5730,/dynasty-rankings/players/bryce-young-1456
34,Drake London,ATL,WR13,22.0,Tier 11,2d,5723,/dynasty-rankings/players/drake-london-1268
35,DK Metcalf,SEA,WR14,25.6,Tier 11,1u,5689,/dynasty-rankings/players/dk-metcalf-224
36,Stefon Diggs,BUF,WR15,29.6,Tier 11,4u,5677,/dynasty-rankings/players/stefon-diggs-262
37,Tua Tagovailoa,MIA,QB11,25.4,Tier 12,2u,5496,/dynasty-rankings/players/tua-tagovailoa-600
38,Deshaun Watson,CLE,QB12,27.8,Tier 12,7d,5460,/dynasty-rankings/players/deshaun-watson-261
39,Cooper Kupp,LAR,WR16,30.1,Tier 12,3u,5421,/dynasty-rankings/players/cooper-kupp-310
40,Kyle Pitts,ATL,TE3,22.8,Tier 12,5d,5407,/dynasty-rankings/players/kyle-pitts-1051
41,C.J. Stroud,HOU,QB13,21.8,Tier 12,8d,5374,/dynasty-rankings/players/cj-stroud-1403
42,Tony Pollard,DAL,RB8,26.2,Tier 12,9u,5370,/dynasty-rankings/players/tony-pollard-344
43,2025 Early 1st,,PICK,,Tier 12,4u,5325,/dynasty-rankings/players/2025-early-1st-1361
44,Austin Ekeler,LAC,RB9,28.2,Tier 13,5u,5179,/dynasty-rankings/players/austin-ekeler-385
45,Josh Jacobs,LVR,RB10,25.4,Tier 13,1u,5177,/dynasty-rankings/players/josh-jacobs-303
46,Daniel Jones,NYG,QB14,26.2,Tier 13,8u,5152,/dynasty-rankings/players/daniel-jones-87
47,2023 Mid 1st,,PICK,,Tier 13,1u,5146,/dynasty-rankings/players/2023-mid-1st-1096
48,Jordan Addison,MIN,WR17,21.5,Tier 13,8u,5141,/dynasty-rankings/players/jordan-addison-1420
49,Travis Etienne,JAC,RB11,24.5,Tier 14,5d,5038,/dynasty-rankings/players/travis-etienne-1030
50,2024 Mid 1st,,PICK,,Tier 14,3u,5036,/dynasty-rankings/players/2024-mid-1st-1294
51,Kyler Murray,ARI,QB15,26.0,Tier 14,13d,5026,/dynasty-rankings/players/kyler-murray-379
52,Davante Adams,LVR,WR18,30.6,Tier 14,0,5011,/dynasty-rankings/players/davante-adams-277
53,Kenneth Walker III,SEA,RB12,22.8,Tier 14,10d,4937,/dynasty-rankings/players/kenneth-walker-iii-1227
54,Christian Watson,GBP,WR19,24.2,Tier 15,4u,4859,/dynasty-rankings/players/christian-watson-1248
55,Dak Prescott,DAL,QB16,30.0,Tier 15,10d,4855,/dynasty-rankings/players/dak-prescott-371
56,Jahan Dotson,WAS,WR20,23.3,Tier 15,7u,4818,/dynasty-rankings/players/jahan-dotson-1272
57,Brandon Aiyuk,SFO,WR21,25.3,Tier 15,2d,4805,/dynasty-rankings/players/brandon-aiyuk-538
58,Zay Flowers,BAL,WR22,22.9,Tier 15,11u,4751,/dynasty-rankings/players/zay-flowers-1443
59,D.J. Moore,CHI,WR23,26.3,Tier 15,3u,4736,/dynasty-rankings/players/dj-moore-304
60,George Pickens,PIT,WR24,22.4,Tier 15,19u,4702,/dynasty-rankings/players/george-pickens-1279
61,T.J. Hockenson,MIN,TE4,26.0,Tier 15,4d,4677,/dynasty-rankings/players/tj-hockenson-247
