rank,player,team,position,age,tier,trend,rating
1,Patrick Mahomes,KCC,QB1,27.8,Tier 1,0,9999
2,Justin Jefferson,MIN,WR1,24.1,Tier 1,2u,9919
3,Josh Allen,BUF,QB2,27.2,Tier 1,1d,9785
4,Jalen Hurts,PHI,QB3,25.0,Tier 1,1d,9579
5,Joe Burrow,CIN,QB4,26.6,Tier 2,0,9188
6,Ja'Marr Chase,CIN,WR2,23.4,Tier 2,0,8977
7,Justin Herbert,LAC,QB5,25.4,Tier 2,0,8557
8,Trevor Lawrence,JAC,QB6,23.8,Tier 3,0,8118
9,Bijan Robinson,ATL,RB1,21.5,Tier 3,1u,7938
10,Lamar Jackson,BAL,QB7,26.5,Tier 3,1d,7929
11,CeeDee Lamb,DAL,WR3,24.3,Tier 4,0,7236
12,Garrett Wilson,NYJ,WR4,23.0,Tier 4,0,7156
13,Justin Fields,CHI,QB8,24.4,Tier 4,0,7091
14,Amon-Ra St. Brown,DET,WR5,23.7,Tier 4,2u,6981
15,Jaylen Waddle,MIA,WR6,24.6,Tier 4,0,6904
16,A.J. Brown,PHI,WR7,26.1,Tier 4,2d,6856
17,Chris Olave,NOS,WR8,23.1,Tier 5,0,6476
18,Anthony Richardson,IND,QB9,21.2,Tier 5,0,6412
19,Christian McCaffrey,SFO,RB2,27.1,Tier 5,3u,6399
20,2023 Early 1st,,PICK,,Tier 6,1u,6278
21,2024 Early 1st,,PICK,,Tier 6,1d,6226
22,DeVonta Smith,PHI,WR9,24.7,Tier 6,3u,6178
23,Breece Hall,NYJ,RB3,22.1,Tier 6,4d,6158
24,Jahmyr Gibbs,DET,RB4,21.3,Tier 6,2u,6144
25,Bryce Young,CAR,QB10,22.0,Tier 6,2d,6135
26,Tyreek Hill,MIA,WR10,29.4,Tier 7,3u,5925
27,Jaxon Smith-Njigba,SEA,WR11,21.4,Tier 7,4u,5902
28,Jonathan Taylor,IND,RB5,24.5,Tier 7,4d,5853
29,Travis Kelce,KCC,TE1,33.8,Tier 7,8u,5803
30,Tee Higgins,CIN,WR12,24.5,Tier 7,3d,5796
31,C.J. Stroud,HOU,QB11,21.8,Tier 7,5u,5780
32,Drake London,ATL,WR13,22.0,Tier 7,4d,5742
33,Deshaun Watson,CLE,QB12,27.8,Tier 7,1d,5709
34,Saquon Barkley,NYG,RB6,26.4,Tier 7,0,5699
35,DK Metcalf,SEA,WR14,25.6,Tier 7,3u,5680
36,Mark Andrews,BAL,TE2,27.9,Tier 7,1d,5668
37,Kyle Pitts,ATL,TE3,22.8,Tier 7,7d,5621
38,Tua Tagovailoa,MIA,QB13,25.4,Tier 7,1u,5566
39,Stefon Diggs,BUF,WR15,29.6,Tier 7,3u,5561
40,Kyler Murray,ARI,QB14,26.0,Tier 8,7d,5470
41,Travis Etienne,JAC,RB7,24.5,Tier 8,2u,5381
42,Nick Chubb,CLE,RB8,27.6,Tier 8,8u,5363
43,Cooper Kupp,LAR,WR16,30.1,Tier 9,2d,5168
44,2025 Early 1st,,PICK,,Tier 9,4u,5128
45,Josh Jacobs,LVR,RB9,25.4,Tier 9,1d,5068
46,Kenneth Walker III,SEA,RB10,22.8,Tier 9,1d,5065
47,2023 Mid 1st,,PICK,,Tier 9,0,5046
48,Dak Prescott,DAL,QB15,30.0,Tier 9,8d,5010
49,Austin Ekeler,LAC,RB11,28.2,Tier 9,6u,4990
50,Daniel Jones,NYG,QB16,26.2,Tier 9,1d,4988
51,Tony Pollard,DAL,RB12,26.2,Tier 9,0,4980
52,Davante Adams,LVR,WR17,30.6,Tier 9,4u,4914
53,Jordan Addison,MIN,WR18,21.5,Tier 9,1d,4911
54,2024 Mid 1st,,PICK,,Tier 9,1d,4859
55,T.J. Hockenson,MIN,TE4,26.0,Tier 9,3u,4842
56,Rhamondre Stevenson,NEP,RB13,25.4,Tier 9,10d,4782
57,Quentin Johnston,LAC,WR19,21.9,Tier 9,2u,4757
58,Christian Watson,GBP,WR20,24.2,Tier 9,2u,4729
59,Brandon Aiyuk,SFO,WR21,25.3,Tier 9,2d,4710
60,Jerry Jeudy,DEN,WR22,24.2,Tier 9,1u,4696
61,Najee Harris,PIT,RB14,25.4,Tier 9,7d,4628
62,D.J. Moore,CHI,WR23,26.3,Tier 10,1u,4525
63,Zay Flowers,BAL,WR24,22.9,Tier 11,15u,4454
64,Deebo Samuel,SFO,WR25,27.5,Tier 11,7u,4422
65,Javonte Williams,DEN,RB15,23.2,Tier 11,3u,4419
66,Jahan Dotson,WAS,WR26,23.3,Tier 11,4d,4396
67,George Pickens,PIT,WR27,22.4,Tier 11,7u,4340
68,Calvin Ridley,JAC,WR28,28.6,Tier 11,12u,4339
69,Terry McLaurin,WAS,WR29,27.8,Tier 11,4d,4274
70,Dalton Kincaid,BUF,TE5,23.8,Tier 12,16u,4189
